Unnamed: 0.3,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url,pattern_counts,label
0,0,0,0,Tue Feb 13 23:57:50 +0000 2024,1757554706011009374,turun indon tengok je lah indon gi pwtc kelmarin macam mana perangai fanatik riuh macam sama je btw tak pergi milu presiden,0,1,1,1,in,1623528833793265665,1757325132274819532,reform_roar,https://twitter.com/reform_roar/status/1757554706011009374,{},marah
1,1,1,1,Tue Feb 13 23:55:54 +0000 2024,1757554220851662851,calon wakil presiden cawapres nomor urut muhaimin iskandar sorot proses pilih umum milu warga negara indonesia wni luar negeri,0,0,0,1,in,280794125,1757554220851662851,kalimaya_malang,https://twitter.com/kalimaya_malang/status/1757554220851662851,{},netral
2,2,2,2,Tue Feb 13 23:55:48 +0000 2024,1757554194138157113,sore tahu hasil milu presiden,0,0,0,1,in,1402500059929800708,1757554194138157113,lalalalisae_m,https://twitter.com/lalalalisae_m/status/1757554194138157113,{},netral
3,3,3,3,Tue Feb 13 23:52:42 +0000 2024,1757553415172059371,siapa bapak-bapak pilih jadi presiden milu kali moga tepat janji pak fighting tanda seru ganda,0,0,0,0,in,1410553792865607686,1757553415172059371,caastagfirullah,https://twitter.com/caastagfirullah/status/1757553415172059371,{},netral
4,4,4,4,Tue Feb 13 23:50:05 +0000 2024,1757552758109163895,tahun -umat rakyat indonesia pilih presiden -pks hajat milu -nasdem tahun dapat -pkb menang moga milu laksana jujur adil,0,0,0,1,in,164950723,1757368895965729041,eindro76,https://twitter.com/eindro76/status/1757552758109163895,{},netral
5,5,5,5,Tue Feb 13 23:50:00 +0000 2024,1757552733987688729,pilih presiden pilpres ikut tiga pasang capres-cawapres potensi satu putar ikut tiga syarat penuh milu langsung satu putar,1,1,3,3,in,69183155,1757552733987688729,detikcom,https://twitter.com/detikcom/status/1757552733987688729,{},netral
6,6,6,6,Tue Feb 13 23:49:59 +0000 2024,1757552730829447669,milu sebut pilih calon presidan wakil presiden anggota dpr ri anggota dpd anggota dprd provinsi anggota dprd kotakabupaten yuk sukses pilih umum gera sadar milu tangan membentuk hati warna kulit cerah tangan membentuk hati warna kulit cerah tangan membentuk hati warna kulit cerah,0,1,0,0,in,2388195870,1757552728665129008,pgpoerwodadie,https://twitter.com/pgpoerwodadie/status/1757552730829447669,{},netral
7,7,7,7,Tue Feb 13 23:48:12 +0000 2024,1757552282072494228,betul ubah bukan amp ubah prilaku pilih presiden lantik pilpres jadi relawanpendukung pilpres jadi oposisi ubah fundamental sistem milu amp tata kelola uang semua paslon sama beda narasi,0,0,0,2,in,1188896232,1757238061359096124,Momonsimomon,https://twitter.com/Momonsimomon/status/1757552282072494228,{},netral
8,8,8,8,Tue Feb 13 23:48:02 +0000 2024,1757552241857466670,carat ina mixed feeling enggak sih soal tahun febnya tepat sama milu presiden proses kayak drama wajah terbalik,0,0,0,0,in,51935697,1757552241857466670,etrietrietri,https://twitter.com/etrietrietri/status/1757552241857466670,{},netral
9,9,9,9,Tue Feb 13 23:47:05 +0000 2024,1757552002689859967,allah moga pasang anis muhaimi amin jadi presiden san wakil presiden menang milu februari aminaminamin,0,0,0,0,in,1363838106911211522,1757379088472547424,JambiAmrin,https://twitter.com/JambiAmrin/status/1757552002689859967,{},senang
10,10,10,10,Tue Feb 13 23:46:13 +0000 2024,1757551783919132882,jelang milu gelar besok rabu februari pasang anies-gus imin amin optimis menang pilih presiden wakil presiden,0,0,0,1,in,1655915505373577216,1757551783919132882,ajinhz,https://twitter.com/ajinhz/status/1757551783919132882,{},senang
11,11,11,11,Tue Feb 13 23:45:56 +0000 2024,1757551711751930114,milu status tetap menantu presiden enggak becus u- kebun binatang tutup kok wajah dengan tangan menutup mulut,0,0,0,0,in,1335889446,1757375401863889302,tepig_pignite,https://twitter.com/tepig_pignite/status/1757551711751930114,{},marah
12,12,12,12,Tue Feb 13 23:45:13 +0000 2024,1757551531409449072,jelang mungut suara milu begini pesan presiden jokowi wapres maruf amin lewat,0,0,0,0,in,151700683,1757551531409449072,Tribun_Manado,https://twitter.com/Tribun_Manado/status/1757551531409449072,{},netral
13,13,13,13,Tue Feb 13 23:40:44 +0000 2024,1757550403720462415,walaupun lahir aku debut milu presiden tahun soal lalu golput memang pure fokus kuliah tentu pilih baik nasib bangsa tahun depan tang sendiri,0,0,0,0,in,1294999618292350976,1757550403720462415,MuhAdeSaputra07,https://twitter.com/MuhAdeSaputra07/status/1757550403720462415,{},netral
14,14,14,14,Tue Feb 13 23:40:32 +0000 2024,1757550352793247972,milu gelar rabu februari pasang anies-gus imin amin optimis menang pilih presiden wakil presiden doa kiai masyayikh ikut jadi faktor penting pilpres hari,0,0,0,1,in,1678086319879385088,1757550352793247972,gubukronggo,https://twitter.com/gubukronggo/status/1757550352793247972,{},netral
15,15,15,15,Tue Feb 13 23:40:10 +0000 2024,1757550262703833138,moga milu pilpres jalan aman damai jujur siapa pilih jadi presiden wapresadalah hasil pilih rakyatkarena suara rakyat suara tuhan moga pilpres jangan chaos lalu tentu pilih hati nurani,0,0,0,0,in,1605130752949383168,1757531407864512772,dayana47631052,https://twitter.com/dayana47631052/status/1757550262703833138,{},senang
16,16,16,16,Tue Feb 13 23:40:04 +0000 2024,1757550237114372578,jelang milu besok rabu februari pasang amin-gus imin amin optimis menang pilih presiden wakil presiden,0,0,1,1,in,908254684569206786,1757550237114372578,81_prale,https://twitter.com/81_prale/status/1757550237114372578,{},senang
17,17,17,17,Tue Feb 13 23:38:41 +0000 2024,1757549888404160767,hujan allah kah milu indonesia hari tangan diangkat dan dirapatkan bersama siapa presiden ri pilihan-mu rakyat indonesia allah,0,0,0,0,in,1592585173333585921,1757549888404160767,ritekite,https://twitter.com/ritekite/status/1757549888404160767,{},netral
