,label,tweet,masked_word_count,pattern_counts
0,anger,soal jalan jatibarupolisi gertak gubernur emangny polisi ikut pmbhasan jangan politik atur wilayahhak gubernur soal tn abang soal turun temurunpelikperlu sabar,2,"{'USERNAME': 2, 'URL': 1}"
1,anger,sama cewek lho kayak ha- lebih rasai lah sibuk jaga diri rasai sakit haid panik pulang malam sendiri bagaimana orang asing wajar banyak korban takut curhat bukan bela malah hujat,0,{}
2,happy,pengin gudeg mbarek bu hj foto google sengaja biar teman-teman bayang bagi indah,0,{}
3,anger,jalan jatibarubagian wilayah tn abangpengaturan wilayah tgg jawab wwnang gubtng abng soal rumitsejak gub trdahuluskrg sedng dibenahiagr bermnfaat semua pihakmohon punya otakberpikirlah wajarkecuali otak butekya kamu,0,{'URL': 1}
4,happy,sharing alam aja kemarin jam batalin tiket stasiun pasar senen lancar antri terlalu rame menit beress semua mungkin coba twips jam-jam segitu cc,1,{'USERNAME': 1}
5,anger,sekian banyak thread aku baca thread paling aneh sih tulis sumpah aneh bgt mau katai lebay segala bikin thread hadeh aku enggak jago nulis tulis aku enggak beranta thread mbak,0,{}
6,happy,sharing sama teman tuh memang bgt saat lu rasa masalah lu berat banget nyata teman sendiri punya masalah lebih berat malah masalah enggak apaapanya banding masalah,0,{}
7,sadness,orang kalau pakai ponco buat jas hujan nah pakai buat kasur tadi garagara saking enggak punya apa mamak bilang tuh awal pernik enggak ngalamin bulan madu kayak skrg orang tidur nya pakai ponco gimane mau bulan madu,0,{}
8,anger,contoh gemar sudut teriak paling toleran gemar tuduh gemar men-judge orang dasar versi cukup tau,0,{}
9,sadness,pulang h- lebaran dilema sekali laku apaapa rumah lebaran buka puasa bareng cuman hari sama keluarga sahur,0,{}
10,anger,betul min rakyat indonesia sekarang harap nya tinggal sama tni kalau lihat jelas serang kantor media kata unsur pidana jelas hina presiden indonesia sah cuma lucu lucu an,0,{'URL': 1}
11,anger,kalaupun fansite ngejual hasil jepret uang nya lari idol belikan hadiah kan kpopers baru fansite jaman kamera bening skrg,0,{}
12,happy,sangat syukur doa kakek bung karno sama anak-anak yatim piatu h,1,{'USERNAME': 1}
13,sadness,sulit terima nyata memang bagi anggap interaksi satu orang satu golong tentu langsung kata golong tentu saat ajar utuh klaim diri paling benar,0,{}
14,anger,samanye maling semua enggak sih jancok enggak sih anjing enggak sih siluman monyet hahahahaha satu hati sama sama maling,0,{}
15,anger,ku pengin ngamuk bacain komenkomen netizen mahabenar lord enggak habis pikir komenkomen macam begini bikin kasus leceh seksual tenggelam hukum laku lebih sedih rerata komen jahat perempuan mbaq sehat loh,0,{'URL': 1}
16,love,sempat pernah hadir buat selalu rasa aman nyaman kini jadi suatu hormat pernah dapat,0,{}
17,anger,sedap kali kau bobok kasur ku aku tidur kau ikut tidur mau jadi apa kau baca pakai logat mamak dahlia keluarga badak,0,{}
18,happy,h- mau bank rame banget antri tempat duduk luar toko emas luber enggak lihat mbak jual swalayan antri kasir naudzubilah panjang bener bahagia semua kayak moga moga rs sepi pasien sembuh pulang bahagia,0,{}
19,anger,benarbenar hancur negara kelola amatir kenpak indah statementnya sendiri negara miskin koordinasi jangan asal gagah seta salah anulir mana marwahmu wahai mr presiden,2,"{'USERNAME': 2, 'URL': 1}"
20,anger,budaya cari baca tanya jelas kali kok lama enggak diaturgaada tentu khusus pakai,0,{}
21,sadness,paruh hati iri lihat orang anak duduk jalan sama ibunda paruh hati turut empat lihat orang anak gundah ibunda sakit sabar kawan moga allah beri baik semua,0,{}
22,happy,aku senyum bukan arti hidup sempurna aku syukur apa aku punya apa tuhan ikan ku,0,{}
23,sadness,mau tdr tidur bgn tidur kok kayak rasa aneh enggak enak hati bawa istighfar aja bgn tidur kayak sedih kayak mikir enggak puguh banget coba,0,{}
24,love,kan peluk engkau erat hingga tak orang rebut mu peluk ku happy anniversary sayang,0,{}
25,anger,kalo mau ganti presiden jelas siapa calon te- adu program kerja koalisi ditentuin bisa cuman buat kaos tagar,0,{}
26,happy,sukses n keren banget no kualitasbhn krjaitu citacita punya waris cusukses tims bbpjn barokah limpah,0,{}
27,anger,mau sarjana kali mbokya mulut nya jangan tinggal buat ajar sekira enggak perlu ungkap tambah dosa sakit hati orang mending diem bae lah kasihan nya julidin sama orang,0,{}
28,anger,bagaimana orang enggak nilai jilbabsyaringgak nya kadang gemas sama orang kelas diem bae eh grup wa bisa nyeletuk arah social harassment,0,{}
29,fear,hari jadwal presentasi proker lppm praktikum jadi pak ketua teman sekretaris selaku tanggung jawab sekretaris jadi deg deg an bismillah pak ketua btw pengin upload foto pak ketua jangan dulu yaa,0,{}
30,anger,foto instagram cuma lupa password instanya jadi enggak buka salah perintah instagram pakai password segala tuh lupa kan gue,0,{}
31,fear,drama kemarin sore hari puasa te- pas mandi kaget bcz datang tamu tak undang pas banget woi pas adzan maghrib te- jadi galau dong hari anggap sah puasa apa enggak- -,0,{}
32,sadness,sungguh cinta berat sekali pisah dengan - selalu bikin bawa asa sukses lupa laper,1,"{'USERNAME': 1, 'URL': 1}"
33,anger,pas kirim sih kurir telp ngeluh mager buat nganter alamat bener malah minta ketemu titik tau itu enggak mau susah no puter balik arah sama arah kendara jalan,0,{}
34,happy,akhir lewat semua semua dulu bayang betapa sulit lalu akhir ajar ajar ajar petik semua hikmah petik siap depan,0,{}
35,love,pasang seringkali ibarat rumah rasa nyaman sama nyaman ada rumah kamu jadi apa kamu selalu pulang tuju,0,{}
36,fear,tau kalo rasa sakit hati memamg sulit kala nya jenjang rumah tangga jangan lah publik situasi inimedia jahat enggak selesai masalah lontar kata kata,0,{}
37,happy,ponakan kls sd demen tonton video tutorial masak craft youtube gue kls sd baca novel marga t amp mira w minjem punya sepupu,0,{}
38,happy,bberapa tahun kemudian sejahtera keluarga makmak teus tingkat sampai suami dpet pangkat tinggi kurang paham pangkat tni pokok hidup bekecukupan,0,{}
39,sadness,bukan dukung doa cuma sikap apa pilih upaya mempertahankannyadisini aku jauh bahagia lihat sedih kebahagianku pudarseperti kala terima undang nikah,0,{}
40,happy,jnejnt lama pakai entah kirim paketbeli olshop jastip luar kota beda pulau maksimal hari mau pakai mobil susah cari alamat bingung enggak masuk kompleksgang meski malam sekalipun bain jalan rumah paket kirim baik,0,{}
41,anger,gemas banget sama orang anggap wajar leceh sexual verbal mau verbal fisik apa tetap benar,0,{}
42,fear,apa hukum main musik stad jelas haroooom hukum dosa main begitu kira-kira cakap jadi pena orang ustad buah acara tv intro pakai musik,0,{}
43,anger,apa hebat mardani oeang cuma besar mulut fakta sebut capres lagipula kalau koalisi pks gerindra enggak mungkin lah yaow,0,{}
44,sadness,iya ibu nya lahir anak cewek enggak tahu tahun berapa nya lanjut tadi baru tahun kasih nikmat datang uji buat sih makmak kali mungkin berat tinggal suami tinggal ketika ibu jadi singel parent,0,{}
45,happy,suka twitter soalny perempuan ji semua teman sini biar omel tablengker ndada bahaya bahas monsteration bebas bahas indak puasa bebas wa mau update status stres monsteration dulu blok semua cowok baru mengupdate,0,{}
46,anger,enggak erti sama ciwi-ciwi nyinyir via vallen korban loh susah itu saling support satu sama gurlzz,0,{}
47,anger,hari libur rencana mau tonton jurassic world kaya gajadi deh ingat kondisi enggak fit banget sebel -ak rencana belanga sebel akutu,0,{}
