created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Feb 13 23:57:50 +0000 2024;1757554706011009374;"@belialrising Keturunan indon? Tgk je la indon2 yg gi PWTC kelmarin tu mcm mn perangai mereka? Fanatik dan riuh.. Mcm sama je? BTW tak pergi pemilu presiden ke?";0;1;1;1;in;1623528833793265665;1757325132274819532;reform_roar;https://twitter.com/reform_roar/status/1757554706011009374
Tue Feb 13 23:55:54 +0000 2024;1757554220851662851;"Calon wakil presiden (cawapres) nomor urut 1, Muhaimin Iskandar menyoroti proses Pemilihan Umum (pemilu) 2024 bagi warga negara Indonesia (WNI) di luar negeri #MBKBFM https://t.co/5fX0iLunzn";0;0;0;1;in;280794125;1757554220851662851;kalimaya_malang;https://twitter.com/kalimaya_malang/status/1757554220851662851
Tue Feb 13 23:55:48 +0000 2024;1757554194138157113;"#02JariUngu sore sudah ketauan hasil pemilu presiden  https://t.co/D491OSu3Un";0;0;0;1;in;1402500059929800708;1757554194138157113;lalalalisae_m;https://twitter.com/lalalalisae_m/status/1757554194138157113
Tue Feb 13 23:52:42 +0000 2024;1757553415172059371;"siapapun bapak-bapak yang terpilih menjadi presiden pada pemilu kali ini, semoga dapat menepati janjinya ya pak, FIGHTING‼️";0;0;0;0;in;1410553792865607686;1757553415172059371;caastagfirullah;https://twitter.com/caastagfirullah/status/1757553415172059371
Tue Feb 13 23:50:05 +0000 2024;1757552758109163895;"@HisyamMochtar Pada tahun 20(24-Umat), rakyat Indonesia akan memilih presiden yang ke (8-PKS), pada hajatan pemilu setiap (5-Nasdem) tahunan, dan akan mendapatkan hanya (1-PKB) pemenangnya. Semoga pemilu dilaksanakan secara jujur dan adil.";0;0;0;1;in;164950723;1757368895965729041;eindro76;https://twitter.com/eindro76/status/1757552758109163895
Tue Feb 13 23:50:00 +0000 2024;1757552733987688729;"Pemilihan Presiden (Pilpres) 2024 yang diikuti tiga pasangan capres-cawapres berpotensi satu putaran. Berikut tiga syarat yang harus dipenuhi agar pemilu berlangsung satu putaran.  #detikcom #Pemilu2024 #detikPemilu #WaktunyaMilih https://t.co/PLNoclQYgt";1;1;3;3;in;69183155;1757552733987688729;detikcom;https://twitter.com/detikcom/status/1757552733987688729
Tue Feb 13 23:49:59 +0000 2024;1757552730829447669;"Pemilu tersebut untuk memilih Calon Presidan dan Wakil Presiden, anggota DPR RI, anggota DPD, anggota DPRD Provinsi serta anggota DPRD Kota/Kabupaten.  Yuk sukseskan Pemilihan Umum 2024 ini dengan Gerakan Sadar Pemilu.🫶🏻🫶🏻🫶🏻";0;1;0;0;in;2388195870;1757552728665129008;pgpoerwodadie;https://twitter.com/pgpoerwodadie/status/1757552730829447669
Tue Feb 13 23:48:12 +0000 2024;1757552282072494228;"@NzieAja @mochapip @MinmonPS7 @Anti_Bajingan @jokowi Betul. Perubahan BUKAN pada @aniesbaswedan &amp  @cakimiNOW tapi PERUBAHAN prilaku pemilih SETELAH presiden dilantik. SEBELUM pilpres jadi relawan/pendukung SETELAH pilpres jadi OPOSISI. Perubahan fundamental ya sistem pemilu &amp  tata kelola keuangan (semua paslon sama tapi beda narasi";0;0;0;2;in;1188896232;1757238061359096124;Momonsimomon;https://twitter.com/Momonsimomon/status/1757552282072494228
Tue Feb 13 23:48:02 +0000 2024;1757552241857466670;"Carat ina mixed feeling ga sih, soalnya tahun ini 14 febnya bertepatan sama pemilu presiden yg prosesnya kek drama 🙃";0;0;0;0;in;51935697;1757552241857466670;etrietrietri;https://twitter.com/etrietrietri/status/1757552241857466670
Tue Feb 13 23:47:05 +0000 2024;1757552002689859967;"@zainul_munas @aniesbaswedan @cakimiNOW Ya Allah Semoga Pasangan ANIS Muhaimi (AMIN) Menjadi Presiden san Wakil Presiden Pemenang pada PEMILU 14 Februari 2024,AMIN,AMIN,AMIN";0;0;0;0;in;1363838106911211522;1757379088472547424;JambiAmrin;https://twitter.com/JambiAmrin/status/1757552002689859967
Tue Feb 13 23:46:13 +0000 2024;1757551783919132882;"Jelang Pemilu yang digelar besok, Rabu, 14 Februari 2024 Pasangan Anies-Gus Imin (AMIN) optimis akan memenangkan pemilihan Presiden dan wakil presiden 2024. #01AMINwinElection @aniesbaswedan @cakimiNOW https://t.co/XEDZdbrqhO";0;0;0;1;in;1655915505373577216;1757551783919132882;ajinhz;https://twitter.com/ajinhz/status/1757551783919132882
Tue Feb 13 23:45:56 +0000 2024;1757551711751930114;"@randommartyr @dmarvine @graccesh @piyopikavet Setelah pemilu statusnya akan tetap, "menantu presiden gak becus ngurus kebun binatang sampai tutup" kok. 🤭";0;0;0;0;in;1335889446;1757375401863889302;tepig_pignite;https://twitter.com/tepig_pignite/status/1757551711751930114
Tue Feb 13 23:45:13 +0000 2024;1757551531409449072;"Jelang Pemungutan Suara Pemilu 2024, Begini Pesan Presiden Jokowi dan Wapres Maruf Amin   https://t.co/tCHq5o6eIB lewat @tribunnews";0;0;0;0;in;151700683;1757551531409449072;Tribun_Manado;https://twitter.com/Tribun_Manado/status/1757551531409449072
Tue Feb 13 23:40:44 +0000 2024;1757550403720462415;"walaupun kelahiran 2000, aku debut pemilu presiden tahun ini, soalnya 2019 lalu golput karena emang pure fokus kuliah  dan ya, tentukan pilihan dengan baik, karena nasib bangsa kita 5 tahun didepan ada ditangan kita sendiri. #ElectionDay";0;0;0;0;in;1294999618292350976;1757550403720462415;MuhAdeSaputra07;https://twitter.com/MuhAdeSaputra07/status/1757550403720462415
Tue Feb 13 23:40:32 +0000 2024;1757550352793247972;"Pemilu yang digelar, Rabu, 14 Februari 2024 Pasangan Anies-Gus Imin (AMIN) optimis akan memenangkan pemilihan Presiden dan wakil presiden 2024. Selain itu, Doa para Kiai dan masyayikh ikut menjadi faktor penting dalam pilpres hari ini. #01AMINwinElection @aniesbaswedan @cakimiNOW https://t.co/hMwhhi8NTk";0;0;0;1;in;1678086319879385088;1757550352793247972;gubukronggo;https://twitter.com/gubukronggo/status/1757550352793247972
Tue Feb 13 23:40:10 +0000 2024;1757550262703833138;"@mohmahfudmd Semoga pemilu dan pilpres berjalan aman damai dan jujur. Siapapun nanti yg terpilih jadi presiden dan wapres,adalah hasil pilihan dari Rakyat,karena suara Rakyat adalah suara Tuhan. Semoga setelah pilpres jangan ada lagi Chaos spt 2019 lalu. Tentukan pilihan dg hati Nurani.";0;0;0;0;in;1605130752949383168;1757531407864512772;dayana47631052;https://twitter.com/dayana47631052/status/1757550262703833138
Tue Feb 13 23:40:04 +0000 2024;1757550237114372578;"Jelang Pemilu besok, Rabu 14 Februari 2024 pasangan Amin-Gus Imin  (AMIN) optimis akan memenangkan pemilihan presiden dan wakil presiden 2024 #01AMINwinElection  @aniesbaswedan  @cakimiNOW https://t.co/qA9YMGU2uQ";0;0;1;1;in;908254684569206786;1757550237114372578;81_prale;https://twitter.com/81_prale/status/1757550237114372578
Tue Feb 13 23:38:41 +0000 2024;1757549888404160767;"Hujan Ya Alloh berkahilah pemilu di Indonesia hari ini 🤲 Siapapun presiden RI nanti itu adalah pilihan-Mu untuk kami rakyat Indonesia Ya Alloh";0;0;0;0;in;1592585173333585921;1757549888404160767;ritekite;https://twitter.com/ritekite/status/1757549888404160767
Tue Feb 13 23:34:44 +0000 2024;1757548894266036416;"ngomongin politik sebenernya jokowi sebagai presiden 10 tahun ini, kinerjanya it's not that bad. bersyukur karena pemilu lalu kalo bukan pak jokowi yang menang, siapa lagi kalau bukan pak bowo yang jadi presiden kemarin2. jadi dibilang nyesel pun, ga juga.  tapi memang aku ga";0;1;0;0;in;1296359922527907842;1757548894266036416;thavaguetha;https://twitter.com/thavaguetha/status/1757548894266036416
Tue Feb 13 23:33:40 +0000 2024;1757548626405216386;"@fadlizon Setelah menonton film dirty vote.nyata2 mereka berdua ini jadi  boneka presiden Joekuwee.  Pemilu curang dan culas..";0;0;0;1;in;834388208376963072;1757410122442453275;maju_ahmad;https://twitter.com/maju_ahmad/status/1757548626405216386
Tue Feb 13 23:33:07 +0000 2024;1757548486332191231;"Kira-kira 205 juta rakyat #Indonesia bakal mengundi pada Pilihan Raya #Presiden yang diadakan serentak dengan Pemilihan Umum, #Pemilu, hari ini.  Menurut tinjauan simulasi, Menteri Pertahanan, Prabowo Subianto dilihat sebagai calon pilihan untuk menang pilihan raya itu. https://t.co/ORnNb3QFlv";0;0;0;0;in;3314811637;1757548486332191231;AstroRadioNews;https://twitter.com/AstroRadioNews/status/1757548486332191231
Tue Feb 13 23:30:06 +0000 2024;1757547726433354064;"Sejam lagi pemilu. Pilihan presiden itu tanggung jawab diri sendiri. Telusuri rekam jejaknya dan pilih visi misinya. Pertanggungjawaban kita ditunggu di akhirat dan berlangsung selama 5 tahun. Ayoo bijak memilih";0;1;0;0;in;709572391;1757547726433354064;devaniyuella;https://twitter.com/devaniyuella/status/1757547726433354064
Tue Feb 13 23:27:50 +0000 2024;1757547157241180527;"Jelang Pemilu yang digelar besok, Pasangan Anies-Gus Imin (AMIN) optimis akan memenangkan pemilihan Presiden &amp  wakil presiden 2024. Terlebih dlm kampanye terakhir di JIS Jutaan orang ikut hadir dalam temu akbar Paslon AMIN. #01AMINwinElection @aniesbaswedan @cakimiNOW https://t.co/U19YKBcRIc";0;0;0;1;in;260701137;1757547157241180527;awanusysyuru;https://twitter.com/awanusysyuru/status/1757547157241180527
Tue Feb 13 23:26:24 +0000 2024;1757546794916229444;"@tni_ad Sebaiknya TNI AD mintas bossnya jangan ngomentari sesuatu yang berkaitan dengan pemilu dan politik saat2 ini. Kalau ajakan umum seperti ini sih tidak masalah. Presiden, Panglima TNI, Kasad akan berganti, tapi Indonesia dan TNI AD tidak akan. Jangan pernah sakiti rakyat.";0;0;0;0;in;60813388;1757258563880407224;arivpermana;https://twitter.com/arivpermana/status/1757546794916229444
Tue Feb 13 23:24:40 +0000 2024;1757546359497125923;"01 AMIN Win Election  Jelang Pemilu yang digelar besok, Rabu, 14 Februari 2024 Pasangan Anies-Gus Imin optimis akan memenangkan pemilihan Presiden dan wakil presiden 2024. Terlebih kampanye terakhir di Jakarta Internasional Stadium   #01AMINwinElection  @aniesbaswedan @cakimiNOW https://t.co/cQMFcCpZbo";0;0;0;0;in;937609305829736448;1757546359497125923;ShandyIndrauta1;https://twitter.com/ShandyIndrauta1/status/1757546359497125923
Tue Feb 13 23:23:58 +0000 2024;1757546182681993722;"Barusan ku bangun tidur langsung dumba dan mual karena sadar siapa presiden 5 tahun kedepan~  Tidak disangka-sangka ada paslon yang dengan nyata dan jelas tertolak secara akal sehat tapi bisa dan sudah pasti menang di pemilu.";0;1;0;0;in;492088269;1757546182681993722;andi_syahriadi;https://twitter.com/andi_syahriadi/status/1757546182681993722
Tue Feb 13 23:23:11 +0000 2024;1757545986208182282;"Petuah Presiden Terpilih Pemilu 2024? https://t.co/NNe83cs85H";0;0;0;0;in;23786106;1757545986208182282;kompasiana;https://twitter.com/kompasiana/status/1757545986208182282
Tue Feb 13 23:21:40 +0000 2024;1757545606401110045;"Hari ini waktunya coblos #pemilu presiden, TAPI gw masih abu2 wkwkwkwk cap cip cup aja kali ya..  Tapi yang terpenting #Pemilu2024AmanDamai #PemiluAmanDamai #Indonesia https://t.co/pUXBqtg1YD";0;0;0;0;in;341000800;1757545606401110045;uchenuteh;https://twitter.com/uchenuteh/status/1757545606401110045
Tue Feb 13 23:21:36 +0000 2024;1757545586302370300;"Jelang Pemilu  Presiden dan wakil presiden 2024. Terlebih dalam kampanye terakhir di Jakarta Internasional Stadium (JIS) Jutaan orang ikut hadir dalam temu akbar Paslon AMIN. Bahkan 3,5 juta tiket masuk JIS habis #01AMINwinElection @aniesbaswedan @cakimiNOW https://t.co/w9f4FzcFKd";0;0;0;0;in;1735807069658521600;1757545586302370300;Ismalianto951;https://twitter.com/Ismalianto951/status/1757545586302370300
Tue Feb 13 23:19:46 +0000 2024;1757545127877509155;"Tujuan gue tertarik sama pemilu ya karena ini lah 😌🫶🏼  Yakali gue peduli sama presiden Indonesia 🤪";0;0;0;0;in;964462406;1757545127877509155;jerukbusukkkk;https://twitter.com/jerukbusukkkk/status/1757545127877509155
Tue Feb 13 23:16:46 +0000 2024;1757544370340016402;"@collegemenfess aku iyaa krn lahir di bawah bulan april jd waktu 2019 blm bisa ikut nyoblos, tp udh pernah nyoblos buat bupati sih waktu 2020 dan untuk pemilu presiden tahun ini first time";0;0;0;0;in;727951380;1757441585372106910;ailvrophiile;https://twitter.com/ailvrophiile/status/1757544370340016402
Tue Feb 13 23:16:19 +0000 2024;1757544256980529562;"2 hari kedepan keknya off sosmed aja deh wkwkwk siapapun yg jadi presidennya dari pemilu hari ini, I hope for the best, presiden semua tuh yg maju gak mungkin lah mau bawa Indonesia ke bad way, ya kan?";0;0;0;0;in;1174729339;1757544256980529562;ownmymark_;https://twitter.com/ownmymark_/status/1757544256980529562
Tue Feb 13 23:15:17 +0000 2024;1757543997441286317;"Jelang Pemilu yang digelar besok, Rabu, 14 Februari 2024 Pasangan Anies-Gus Imin (AMIN) optimis akan memenangkan pemilihan Presiden dan wakil presiden 2024. #01AMINwinElection @aniesbaswedan @cakimiNOW https://t.co/TVZ78lOAK0";0;0;0;1;in;1591790559097561088;1757543997441286317;Pujangga_2022;https://twitter.com/Pujangga_2022/status/1757543997441286317
Tue Feb 13 23:14:52 +0000 2024;1757543894475301367;"01 AMIN Win Election  Jelang Pemilu yang digelar besok, Rabu, 14 Februari 2024 Pasangan AMIN optimis akan memenangkan pemilihan Presiden dan wakil presiden 2024 Terlebih dalam kampanye terakhir di Jakarta Internasional Stadium   #01AMINwinElection  @aniesbaswedan @cakimiNOW";0;0;0;0;in;1729272890502336512;1757543894475301367;achmadhasa42806;https://twitter.com/achmadhasa42806/status/1757543894475301367
